json,layer,zPos,images
hair_ponytail,layer_1,120,hair/ponytail/adult/fg/ hair/ponytail/adult/fg/ hair/ponytail/adult/fg/ hair/ponytail/adult/fg/
hair_ponytail,layer_2,9,hair/ponytail/adult/bg/ hair/ponytail/adult/bg/ hair/ponytail/adult/bg/ hair/ponytail/adult/bg/
hair_ponytail2,layer_1,120,hair/ponytail2/adult/fg/ hair/ponytail2/adult/fg/ hair/ponytail2/adult/fg/ hair/ponytail2/adult/fg/
hair_ponytail2,layer_2,9,hair/ponytail2/adult/bg/ hair/ponytail2/adult/bg/ hair/ponytail2/adult/bg/ hair/ponytail2/adult/bg/
hair_princess,layer_1,120,hair/princess/adult/fg/ hair/princess/adult/fg/ hair/princess/adult/fg/ hair/princess/adult/fg/
hair_princess,layer_2,9,hair/princess/adult/bg/ hair/princess/adult/bg/ hair/princess/adult/bg/ hair/princess/adult/bg/
hair_relm_ponytail,layer_1,120,hair/relm_ponytail/adult/mg/ hair/relm_ponytail/adult/mg/ hair/relm_ponytail/adult/mg/ hair/relm_ponytail/adult/mg/ hair/relm_ponytail/child/mg/
hair_relm_ponytail,layer_2,9,hair/relm_ponytail/adult/bg/ hair/relm_ponytail/adult/bg/ hair/relm_ponytail/adult/bg/ hair/relm_ponytail/adult/bg/ hair/relm_ponytail/child/bg/
hair_relm_ponytail,layer_3,145,hair/relm_ponytail/adult/fg/ hair/relm_ponytail/adult/fg/ hair/relm_ponytail/adult/fg/ hair/relm_ponytail/adult/fg/ hair/relm_ponytail/child/fg/
hair_relm_short,layer_1,120,hair/relm_short/adult/ hair/relm_short/adult/ hair/relm_short/adult/ hair/relm_short/adult/ hair/relm_short/child/
hair_relm_xlong,layer_1,120,hair/relm_xlong/adult/fg/ hair/relm_xlong/adult/fg/ hair/relm_xlong/adult/fg/ hair/relm_xlong/adult/fg/
hair_relm_xlong,layer_2,9,hair/relm_xlong/adult/bg/ hair/relm_xlong/adult/bg/ hair/relm_xlong/adult/bg/ hair/relm_xlong/adult/bg/
hair_sara,layer_1,120,hair/sara/adult/fg/ hair/sara/adult/fg/ hair/sara/adult/fg/ hair/sara/adult/fg/
hair_sara,layer_2,9,hair/sara/adult/bg/ hair/sara/adult/bg/ hair/sara/adult/bg/ hair/sara/adult/bg/
hair_shorthawk,layer_1,120,hair/shorthawk/adult/ hair/shorthawk/adult/ hair/shorthawk/adult/ hair/shorthawk/adult/
hair_shoulderl,layer_1,120,hair/shoulderl/adult/fg/ hair/shoulderl/adult/fg/ hair/shoulderl/adult/fg/ hair/shoulderl/adult/fg/
hair_shoulderl,layer_2,9,hair/shoulderl/adult/bg/ hair/shoulderl/adult/bg/ hair/shoulderl/adult/bg/ hair/shoulderl/adult/bg/
hair_shoulderr,layer_1,120,hair/shoulderr/adult/fg/ hair/shoulderr/adult/fg/ hair/shoulderr/adult/fg/ hair/shoulderr/adult/fg/
hair_shoulderr,layer_2,9,hair/shoulderr/adult/bg/ hair/shoulderr/adult/bg/ hair/shoulderr/adult/bg/ hair/shoulderr/adult/bg/
hair_single,layer_1,120,hair/single/adult/fg/ hair/single/adult/fg/ hair/single/adult/fg/ hair/single/adult/fg/
hair_single,layer_2,9,hair/single/adult/bg/ hair/single/adult/bg/ hair/single/adult/bg/ hair/single/adult/bg/
hair_spiked,layer_1,120,hair/spiked/adult/ hair/spiked/adult/ hair/spiked/adult/ hair/spiked/adult/
hair_spiked2,layer_1,120,hair/spiked2/adult/ hair/spiked2/adult/ hair/spiked2/adult/ hair/spiked2/adult/
hair_spiked_beehive,layer_1,120,hair/spiked_beehive/adult/ hair/spiked_beehive/adult/ hair/spiked_beehive/adult/ hair/spiked_beehive/adult/
hair_spiked_liberty,layer_1,120,hair/spiked_liberty/adult/ hair/spiked_liberty/adult/ hair/spiked_liberty/adult/ hair/spiked_liberty/adult/
hair_spiked_liberty2,layer_1,120,hair/spiked_liberty2/adult/ hair/spiked_liberty2/adult/ hair/spiked_liberty2/adult/ hair/spiked_liberty2/adult/
hair_spiked_porcupine,layer_1,120,hair/spiked_porcupine/adult/ hair/spiked_porcupine/adult/ hair/spiked_porcupine/adult/ hair/spiked_porcupine/adult/
hair_swoop,layer_1,120,hair/swoop/adult/ hair/swoop/adult/ hair/swoop/adult/ hair/swoop/adult/
hair_swoop_side,layer_1,120,hair/swoop_side/adult/ hair/swoop_side/adult/ hair/swoop_side/adult/ hair/swoop_side/adult/ hair/swoop_side/child/
hair_topknot_long,layer_1,120,hair/parted_side_bangs/adult/ hair/parted_side_bangs/adult/ hair/parted_side_bangs/adult/ hair/parted_side_bangs/adult/ hair/parted_side_bangs/child/
hair_topknot_long,layer_2,9,hair/extensions/ponytails/topknot_long/adult/bg/ hair/extensions/ponytails/topknot_long/adult/bg/ hair/extensions/ponytails/topknot_long/adult/bg/ hair/extensions/ponytails/topknot_long/adult/bg/ hair/extensions/ponytails/topknot_long/child/bg/
hair_topknot_long,layer_3,145,hair/extensions/ponytails/topknot_long/adult/fg/ hair/extensions/ponytails/topknot_long/adult/fg/ hair/extensions/ponytails/topknot_long/adult/fg/ hair/extensions/ponytails/topknot_long/adult/fg/ hair/extensions/ponytails/topknot_long/child/fg/
hair_topknot_long2,layer_1,120,hair/parted_side_bangs2/adult/ hair/parted_side_bangs2/adult/ hair/parted_side_bangs2/adult/ hair/parted_side_bangs2/adult/ hair/parted_side_bangs2/child/
hair_topknot_long2,layer_2,9,hair/extensions/ponytails/topknot_long/adult/bg/ hair/extensions/ponytails/topknot_long/adult/bg/ hair/extensions/ponytails/topknot_long/adult/bg/ hair/extensions/ponytails/topknot_long/adult/bg/ hair/extensions/ponytails/topknot_long/child/bg/
hair_topknot_long2,layer_3,145,hair/extensions/ponytails/topknot_long/adult/fg/ hair/extensions/ponytails/topknot_long/adult/fg/ hair/extensions/ponytails/topknot_long/adult/fg/ hair/extensions/ponytails/topknot_long/adult/fg/ hair/extensions/ponytails/topknot_long/child/fg/
hair_topknot_short,layer_1,120,hair/parted_side_bangs/adult/ hair/parted_side_bangs/adult/ hair/parted_side_bangs/adult/ hair/parted_side_bangs/adult/ hair/parted_side_bangs/child/
hair_topknot_short,layer_2,145,hair/extensions/ponytails/topknot_short/adult/ hair/extensions/ponytails/topknot_short/adult/ hair/extensions/ponytails/topknot_short/adult/ hair/extensions/ponytails/topknot_short/adult/ hair/extensions/ponytails/topknot_short/child/
hair_topknot_short2,layer_1,120,hair/parted_side_bangs2/adult/ hair/parted_side_bangs2/adult/ hair/parted_side_bangs2/adult/ hair/parted_side_bangs2/adult/ hair/parted_side_bangs2/child/
hair_topknot_short2,layer_2,145,hair/extensions/ponytails/topknot_short/adult/ hair/extensions/ponytails/topknot_short/adult/ hair/extensions/ponytails/topknot_short/adult/ hair/extensions/ponytails/topknot_short/adult/ hair/extensions/ponytails/topknot_short/child/
hair_twists_fade,layer_1,120,hair/twists_fade/adult/ hair/twists_fade/adult/ hair/twists_fade/adult/ hair/twists_fade/adult/
hair_twists_straight,layer_1,120,hair/twists_straight/adult/ hair/twists_straight/adult/ hair/twists_straight/adult/ hair/twists_straight/adult/
hair_unkempt,layer_1,120,hair/unkempt/adult/ hair/unkempt/adult/ hair/unkempt/adult/ hair/unkempt/adult/
hair_wavy,layer_1,120,hair/wavy/adult/fg/ hair/wavy/adult/fg/ hair/wavy/adult/fg/ hair/wavy/adult/fg/
hair_wavy,layer_2,9,hair/wavy/adult/bg/ hair/wavy/adult/bg/ hair/wavy/adult/bg/ hair/wavy/adult/bg/
hair_wavy_child,layer_1,120,hair/wavy/child/
hair_xlong,layer_1,120,hair/xlong/adult/fg/ hair/xlong/adult/fg/ hair/xlong/adult/fg/ hair/xlong/adult/fg/
hair_xlong,layer_2,9,hair/xlong/adult/bg/ hair/xlong/adult/bg/ hair/xlong/adult/bg/ hair/xlong/adult/bg/
hair_xlong_wavy,layer_1,120,hair/xlong_wavy/adult/fg/ hair/xlong_wavy/adult/fg/ hair/xlong_wavy/adult/fg/ hair/xlong_wavy/adult/fg/
hair_xlong_wavy,layer_2,9,hair/xlong_wavy/adult/bg/ hair/xlong_wavy/adult/bg/ hair/xlong_wavy/adult/bg/ hair/xlong_wavy/adult/bg/
hairext_braidl,layer_1,128,hair/extensions/bangs/braidl/adult/ hair/extensions/bangs/braidl/adult/ hair/extensions/bangs/braidl/adult/ hair/extensions/bangs/braidl/adult/ hair/extensions/bangs/braidl/child/
hairext_braidr,layer_1,128,hair/extensions/bangs/braidr/adult/ hair/extensions/bangs/braidr/adult/ hair/extensions/bangs/braidr/adult/ hair/extensions/bangs/braidr/adult/ hair/extensions/bangs/braidr/child/
hairext_high_bun,layer_1,128,hair/extensions/ties/high_bun/adult/ hair/extensions/ties/high_bun/adult/ hair/extensions/ties/high_bun/adult/ hair/extensions/ties/high_bun/adult/
hairext_long_straightl,layer_1,128,hair/extensions/bangs/long_straightl/adult/ hair/extensions/bangs/long_straightl/adult/ hair/extensions/bangs/long_straightl/adult/ hair/extensions/bangs/long_straightl/adult/
hairext_long_straightr,layer_1,128,hair/extensions/bangs/long_straightr/adult/ hair/extensions/bangs/long_straightr/adult/ hair/extensions/bangs/long_straightr/adult/ hair/extensions/bangs/long_straightr/adult/
hairext_long_wavyl,layer_1,128,hair/extensions/bangs/long_wavyl/adult/ hair/extensions/bangs/long_wavyl/adult/ hair/extensions/bangs/long_wavyl/adult/ hair/extensions/bangs/long_wavyl/adult/
hairext_long_wavyr,layer_1,128,hair/extensions/bangs/long_wavyr/adult/ hair/extensions/bangs/long_wavyr/adult/ hair/extensions/bangs/long_wavyr/adult/ hair/extensions/bangs/long_wavyr/adult/
hairext_topknot_long,layer_1,128,hair/extensions/ponytails/topknot_long/adult/fg/ hair/extensions/ponytails/topknot_long/adult/fg/ hair/extensions/ponytails/topknot_long/adult/fg/ hair/extensions/ponytails/topknot_long/adult/fg/ hair/extensions/ponytails/topknot_long/child/fg/
hairext_topknot_long,layer_2,9,hair/extensions/ponytails/topknot_long/adult/bg/ hair/extensions/ponytails/topknot_long/adult/bg/ hair/extensions/ponytails/topknot_long/adult/bg/ hair/extensions/ponytails/topknot_long/adult/bg/ hair/extensions/ponytails/topknot_long/child/bg/
hairext_topknot_relm,layer_1,128,hair/extensions/ponytails/relm_ponytail/adult/fg/ hair/extensions/ponytails/relm_ponytail/adult/fg/ hair/extensions/ponytails/relm_ponytail/adult/fg/ hair/extensions/ponytails/relm_ponytail/adult/fg/
hairext_topknot_relm,layer_2,9,hair/extensions/ponytails/relm_ponytail/adult/bg/ hair/extensions/ponytails/relm_ponytail/adult/bg/ hair/extensions/ponytails/relm_ponytail/adult/bg/ hair/extensions/ponytails/relm_ponytail/adult/bg/
hairext_topknot_short,layer_1,128,hair/extensions/ponytails/topknot_short/adult/ hair/extensions/ponytails/topknot_short/adult/ hair/extensions/ponytails/topknot_short/adult/ hair/extensions/ponytails/topknot_short/adult/ hair/extensions/ponytails/topknot_short/child/
hairext_xlong_bangl,layer_1,128,hair/extensions/bangs/xlong_bangl/adult/ hair/extensions/bangs/xlong_bangl/adult/ hair/extensions/bangs/xlong_bangl/adult/ hair/extensions/bangs/xlong_bangl/adult/ hair/extensions/bangs/xlong_bangl/child/
hairext_xlong_bangr,layer_1,128,hair/extensions/bangs/xlong_bangr/adult/ hair/extensions/bangs/xlong_bangr/adult/ hair/extensions/bangs/xlong_bangr/adult/ hair/extensions/bangs/xlong_bangr/adult/ hair/extensions/bangs/xlong_bangr/child/
hairext_xlong_braidl,layer_1,128,hair/extensions/bangs/xlong_braidl/adult/fg/ hair/extensions/bangs/xlong_braidl/adult/fg/ hair/extensions/bangs/xlong_braidl/adult/fg/ hair/extensions/bangs/xlong_braidl/adult/fg/ hair/extensions/bangs/xlong_braidl/child/fg/
hairext_xlong_braidl,layer_2,9,hair/extensions/bangs/xlong_braidl/adult/bg/ hair/extensions/bangs/xlong_braidl/adult/bg/ hair/extensions/bangs/xlong_braidl/adult/bg/ hair/extensions/bangs/xlong_braidl/adult/bg/ hair/extensions/bangs/xlong_braidl/child/bg/
hairext_xlong_braidr,layer_1,128,hair/extensions/bangs/xlong_braidr/adult/fg/ hair/extensions/bangs/xlong_braidr/adult/fg/ hair/extensions/bangs/xlong_braidr/adult/fg/ hair/extensions/bangs/xlong_braidr/adult/fg/ hair/extensions/bangs/xlong_braidr/child/fg/
hairext_xlong_braidr,layer_2,9,hair/extensions/bangs/xlong_braidr/adult/bg/ hair/extensions/bangs/xlong_braidr/adult/bg/ hair/extensions/bangs/xlong_braidr/adult/bg/ hair/extensions/bangs/xlong_braidr/adult/bg/ hair/extensions/bangs/xlong_braidr/child/bg/
hairext_xlong_curlyl,layer_1,128,hair/extensions/bangs/xlong_curlyl/adult/ hair/extensions/bangs/xlong_curlyl/adult/ hair/extensions/bangs/xlong_curlyl/adult/ hair/extensions/bangs/xlong_curlyl/adult/
hairext_xlong_curlyr,layer_1,128,hair/extensions/bangs/xlong_curlyr/adult/ hair/extensions/bangs/xlong_curlyr/adult/ hair/extensions/bangs/xlong_curlyr/adult/ hair/extensions/bangs/xlong_curlyr/adult/
hairext_xlong_wavyl,layer_1,128,hair/extensions/bangs/xlong_wavyl/adult/ hair/extensions/bangs/xlong_wavyl/adult/ hair/extensions/bangs/xlong_wavyl/adult/ hair/extensions/bangs/xlong_wavyl/adult/
hairext_xlong_wavyr,layer_1,128,hair/extensions/bangs/xlong_wavyr/adult/ hair/extensions/bangs/xlong_wavyr/adult/ hair/extensions/bangs/xlong_wavyr/adult/ hair/extensions/bangs/xlong_wavyr/adult/
hat_accessory_crest,layer_1,139,hat/accessory/crest/adult/ hat/accessory/crest/adult/ hat/accessory/crest/adult/ hat/accessory/crest/adult/
hat_accessory_crest_centurion,layer_1,139,hat/accessory/crest_centurion/adult/ hat/accessory/crest_centurion/adult/ hat/accessory/crest_centurion/adult/ hat/accessory/crest_centurion/adult/
hat_accessory_horns_downward,layer_1,139,hat/accessory/horns_downward/fg/adult/ hat/accessory/horns_downward/fg/adult/ hat/accessory/horns_downward/fg/adult/ hat/accessory/horns_downward/fg/adult/
hat_accessory_horns_downward,layer_2,125,hat/accessory/horns_downward/bg/adult/ hat/accessory/horns_downward/bg/adult/ hat/accessory/horns_downward/bg/adult/ hat/accessory/horns_downward/bg/adult/
hat_accessory_horns_short,layer_1,139,hat/accessory/horns_short/fg/adult/ hat/accessory/horns_short/fg/adult/ hat/accessory/horns_short/fg/adult/ hat/accessory/horns_short/fg/adult/
hat_accessory_horns_short,layer_2,125,hat/accessory/horns_short/bg/adult/ hat/accessory/horns_short/bg/adult/ hat/accessory/horns_short/bg/adult/ hat/accessory/horns_short/bg/adult/
hat_accessory_horns_upward,layer_1,139,hat/accessory/horns_upward/fg/adult/ hat/accessory/horns_upward/fg/adult/ hat/accessory/horns_upward/fg/adult/ hat/accessory/horns_upward/fg/adult/
hat_accessory_horns_upward,layer_2,125,hat/accessory/horns_upward/bg/adult/ hat/accessory/horns_upward/bg/adult/ hat/accessory/horns_upward/bg/adult/ hat/accessory/horns_upward/bg/adult/
hat_accessory_plumage,layer_1,139,hat/accessory/plumage/adult/ hat/accessory/plumage/adult/ hat/accessory/plumage/adult/ hat/accessory/plumage/adult/
hat_accessory_plumage_centurion,layer_1,139,hat/accessory/plumage_centurion/adult/ hat/accessory/plumage_centurion/adult/ hat/accessory/plumage_centurion/adult/ hat/accessory/plumage_centurion/adult/
hat_accessory_plumage_legion,layer_1,139,hat/accessory/plumage_legion/adult/ hat/accessory/plumage_legion/adult/ hat/accessory/plumage_legion/adult/ hat/accessory/plumage_legion/adult/
hat_accessory_wings,layer_1,139,hat/accessory/wings/fg/adult/ hat/accessory/wings/fg/adult/ hat/accessory/wings/fg/adult/ hat/accessory/wings/fg/adult/
hat_accessory_wings,layer_2,125,hat/accessory/wings/bg/adult/ hat/accessory/wings/bg/adult/ hat/accessory/wings/bg/adult/ hat/accessory/wings/bg/adult/
hat_bandana,layer_1,120,hat/cloth/bandana/adult/ hat/cloth/bandana/adult/ hat/cloth/bandana/adult/ hat/cloth/bandana/adult/
hat_bandana2,layer_1,120,hat/cloth/bandana2/adult/ hat/cloth/bandana2/adult/ hat/cloth/bandana2/adult/ hat/cloth/bandana2/adult/
hat_bandana_pirate,layer_1,120,hat/pirate/bandana/adult/ hat/pirate/bandana/adult/ hat/pirate/bandana/adult/ hat/pirate/bandana/adult/
hat_bandana_pirate_skull,layer_1,121,hat/pirate/bandana/skull/adult/ hat/pirate/bandana/skull/adult/ hat/pirate/bandana/skull/adult/ hat/pirate/bandana/skull/adult/
hat_bicorne_athwart_admiral,layer_1,130,hat/pirate/bicorne/athwart/admiral/adult/ hat/pirate/bicorne/athwart/admiral/adult/ hat/pirate/bicorne/athwart/admiral/adult/ hat/pirate/bicorne/athwart/admiral/adult/
hat_bicorne_athwart_admiral_cockade,layer_1,132,hat/pirate/bicorne/athwart/admiral/cockade/adult/ hat/pirate/bicorne/athwart/admiral/cockade/adult/ hat/pirate/bicorne/athwart/admiral/cockade/adult/ hat/pirate/bicorne/athwart/admiral/cockade/adult/
hat_bicorne_athwart_admiral_trim,layer_1,131,hat/pirate/bicorne/athwart/admiral/trim/adult/ hat/pirate/bicorne/athwart/admiral/trim/adult/ hat/pirate/bicorne/athwart/admiral/trim/adult/ hat/pirate/bicorne/athwart/admiral/trim/adult/
hat_bicorne_athwart_basic,layer_1,130,hat/pirate/bicorne/athwart/basic/adult/ hat/pirate/bicorne/athwart/basic/adult/ hat/pirate/bicorne/athwart/basic/adult/ hat/pirate/bicorne/athwart/basic/adult/
hat_bicorne_athwart_basic_skull,layer_1,131,hat/pirate/bicorne/athwart/basic/skull/adult/ hat/pirate/bicorne/athwart/basic/skull/adult/ hat/pirate/bicorne/athwart/basic/skull/adult/ hat/pirate/bicorne/athwart/basic/skull/adult/
hat_bicorne_athwart_captain,layer_1,130,hat/pirate/bicorne/athwart/captain/adult/ hat/pirate/bicorne/athwart/captain/adult/ hat/pirate/bicorne/athwart/captain/adult/ hat/pirate/bicorne/athwart/captain/adult/
hat_bicorne_athwart_captain_skull,layer_1,131,hat/pirate/bicorne/athwart/captain/skull/adult/ hat/pirate/bicorne/athwart/captain/skull/adult/ hat/pirate/bicorne/athwart/captain/skull/adult/ hat/pirate/bicorne/athwart/captain/skull/adult/
hat_bicorne_athwart_commodore,layer_1,130,hat/pirate/bicorne/athwart/commodore/adult/ hat/pirate/bicorne/athwart/commodore/adult/ hat/pirate/bicorne/athwart/commodore/adult/ hat/pirate/bicorne/athwart/commodore/adult/
hat_bicorne_athwart_commodore_trim,layer_1,131,hat/pirate/bicorne/athwart/commodore/trim/adult/ hat/pirate/bicorne/athwart/commodore/trim/adult/ hat/pirate/bicorne/athwart/commodore/trim/adult/ hat/pirate/bicorne/athwart/commodore/trim/adult/
hat_bicorne_foreaft,layer_1,130,hat/pirate/bicorne/foreaft/adult/ hat/pirate/bicorne/foreaft/adult/ hat/pirate/bicorne/foreaft/adult/ hat/pirate/bicorne/foreaft/adult/
hat_bicorne_foreaft_commodore,layer_1,130,hat/pirate/bicorne/foreaft/commodore/adult/ hat/pirate/bicorne/foreaft/commodore/adult/ hat/pirate/bicorne/foreaft/commodore/adult/ hat/pirate/bicorne/foreaft/commodore/adult/
hat_bicorne_foreaft_commodore_trim,layer_1,131,hat/pirate/bicorne/foreaft/commodore/trim/adult/ hat/pirate/bicorne/foreaft/commodore/trim/adult/ hat/pirate/bicorne/foreaft/commodore/trim/adult/ hat/pirate/bicorne/foreaft/commodore/trim/adult/
hat_cap_bonnie,layer_1,130,hat/pirate/bonnie/adult/ hat/pirate/bonnie/adult/ hat/pirate/bonnie/adult/ hat/pirate/bonnie/adult/
hat_cap_bonnie_feather,layer_1,131,hat/pirate/bonnie/feather/adult/ hat/pirate/bonnie/feather/adult/ hat/pirate/bonnie/feather/adult/ hat/pirate/bonnie/feather/adult/
hat_cap_bonnie_tilt,layer_1,130,hat/pirate/bonnie/tilt/adult/ hat/pirate/bonnie/tilt/adult/ hat/pirate/bonnie/tilt/adult/ hat/pirate/bonnie/tilt/adult/
hat_cap_bonnie_trim,layer_1,131,hat/pirate/bonnie/trim/adult/ hat/pirate/bonnie/trim/adult/ hat/pirate/bonnie/trim/adult/ hat/pirate/bonnie/trim/adult/
hat_cap_cavalier,layer_1,130,hat/pirate/cavalier/adult/ hat/pirate/cavalier/adult/ hat/pirate/cavalier/adult/ hat/pirate/cavalier/adult/
hat_cap_cavalier_feather,layer_1,131,hat/pirate/cavalier/feather/adult/ hat/pirate/cavalier/feather/adult/ hat/pirate/cavalier/feather/adult/ hat/pirate/cavalier/feather/adult/
hat_cap_leather,layer_1,130,hat/cloth/leather_cap/adult/ hat/cloth/leather_cap/adult/ hat/cloth/leather_cap/adult/ hat/cloth/leather_cap/adult/
hat_cap_leather_feather,layer_1,131,hat/cloth/leather_cap/feather/adult/ hat/cloth/leather_cap/feather/adult/ hat/cloth/leather_cap/feather/adult/ hat/cloth/leather_cap/feather/adult/
hat_formal_bowler,layer_1,130,hat/formal/bowler/adult/ hat/formal/bowler/adult/ hat/formal/bowler/adult/ hat/formal/bowler/adult/
hat_formal_crown,layer_1,130,hat/formal/crown/adult/ hat/formal/crown/adult/ hat/formal/crown/adult/ hat/formal/crown/adult/
hat_formal_tiara,layer_1,130,hat/formal/tiara/adult/ hat/formal/tiara/adult/ hat/formal/tiara/adult/ hat/formal/tiara/adult/
hat_formal_tophat,layer_1,130,hat/formal/tophat/adult/ hat/formal/tophat/adult/ hat/formal/tophat/adult/ hat/formal/tophat/adult/
hat_headband_hairtie,layer_1,125,hat/headband/hairtie/adult/ hat/headband/hairtie/adult/ hat/headband/hairtie/adult/ hat/headband/hairtie/adult/ hat/headband/hairtie/child/
hat_headband_hairtie_rune,layer_1,126,hat/headband/hairtie/rune/adult/ hat/headband/hairtie/rune/adult/ hat/headband/hairtie/rune/adult/ hat/headband/hairtie/rune/adult/ hat/headband/hairtie/rune/child/
hat_headband_kerchief,layer_1,125,hat/pirate/kerchief/adult/ hat/pirate/kerchief/adult/ hat/pirate/kerchief/adult/ hat/pirate/kerchief/adult/
hat_headband_thick,layer_1,125,hat/headband/thick/adult/ hat/headband/thick/adult/ hat/headband/thick/adult/ hat/headband/thick/adult/ hat/headband/thick/child/
hat_headband_thick_rune,layer_1,126,hat/headband/thick/rune/adult/ hat/headband/thick/rune/adult/ hat/headband/thick/rune/adult/ hat/headband/thick/rune/adult/ hat/headband/thick/rune/child/
hat_headband_tied,layer_1,125,hat/headband/tied/adult/ hat/headband/tied/adult/ hat/headband/tied/adult/ hat/headband/tied/adult/
hat_helmet_armet,layer_1,130,hat/helmet/armet/adult/ hat/helmet/armet/adult/ hat/helmet/armet/adult/ hat/helmet/armet/adult/
hat_helmet_armet_simple,layer_1,130,hat/helmet/armet_simple/adult/ hat/helmet/armet_simple/adult/ hat/helmet/armet_simple/adult/ hat/helmet/armet_simple/adult/
hat_helmet_barbarian,layer_1,130,hat/helmet/barbarian/adult/ hat/helmet/barbarian/adult/ hat/helmet/barbarian/adult/ hat/helmet/barbarian/adult/
hat_helmet_barbarian_nasal,layer_1,130,hat/helmet/barbarian_nasal/adult/ hat/helmet/barbarian_nasal/adult/ hat/helmet/barbarian_nasal/adult/ hat/helmet/barbarian_nasal/adult/
hat_helmet_barbarian_viking,layer_1,130,hat/helmet/barbarian_viking/adult/ hat/helmet/barbarian_viking/adult/ hat/helmet/barbarian_viking/adult/ hat/helmet/barbarian_viking/adult/
hat_helmet_barbuta,layer_1,130,hat/helmet/barbuta/male/ hat/helmet/barbuta/female/ hat/helmet/barbuta/male/ hat/helmet/barbuta/female/
hat_helmet_barbuta_simple,layer_1,130,hat/helmet/barbuta_simple/adult/ hat/helmet/barbuta_simple/adult/ hat/helmet/barbuta_simple/adult/ hat/helmet/barbuta_simple/adult/
hat_helmet_bascinet,layer_1,130,hat/helmet/bascinet/adult/ hat/helmet/bascinet/adult/ hat/helmet/bascinet/adult/ hat/helmet/bascinet/adult/
hat_helmet_bascinet_pigface,layer_1,130,hat/helmet/bascinet_pigface/adult/ hat/helmet/bascinet_pigface/adult/ hat/helmet/bascinet_pigface/adult/ hat/helmet/bascinet_pigface/adult/
hat_helmet_bascinet_pigface_raised,layer_1,130,hat/helmet/bascinet_pigface_raised/adult/ hat/helmet/bascinet_pigface_raised/adult/ hat/helmet/bascinet_pigface_raised/adult/ hat/helmet/bascinet_pigface_raised/adult/
hat_helmet_bascinet_round,layer_1,130,hat/helmet/bascinet_round/adult/ hat/helmet/bascinet_round/adult/ hat/helmet/bascinet_round/adult/ hat/helmet/bascinet_round/adult/
hat_helmet_close,layer_1,130,hat/helmet/close/male/ hat/helmet/close/female/ hat/helmet/close/male/ hat/helmet/close/female/
hat_helmet_flattop,layer_1,130,hat/helmet/flattop/male/ hat/helmet/flattop/female/ hat/helmet/flattop/male/ hat/helmet/flattop/female/
hat_helmet_greathelm,layer_1,130,hat/helmet/greathelm/male/ hat/helmet/greathelm/female/ hat/helmet/greathelm/male/ hat/helmet/greathelm/female/
hat_helmet_horned,layer_1,130,hat/helmet/horned/adult/ hat/helmet/horned/adult/ hat/helmet/horned/adult/ hat/helmet/horned/adult/
hat_helmet_kettle,layer_1,135,hat/helmet/kettle/adult/ hat/helmet/kettle/adult/ hat/helmet/kettle/adult/ hat/helmet/kettle/adult/
hat_helmet_legion,layer_1,130,hat/helmet/legion/adult/ hat/helmet/legion/adult/ hat/helmet/legion/adult/ hat/helmet/legion/adult/
hat_helmet_mail,layer_1,125,hat/helmet/mail/adult/ hat/helmet/mail/adult/ hat/helmet/mail/adult/ hat/helmet/mail/adult/
hat_helmet_maximus,layer_1,130,hat/helmet/maximus/adult/ hat/helmet/maximus/adult/ hat/helmet/maximus/adult/ hat/helmet/maximus/adult/
hat_helmet_morion,layer_1,135,hat/helmet/morion/adult/ hat/helmet/morion/adult/ hat/helmet/morion/adult/ hat/helmet/morion/adult/
hat_helmet_nasal,layer_1,130,hat/helmet/nasal/adult/ hat/helmet/nasal/adult/ hat/helmet/nasal/adult/ hat/helmet/nasal/adult/
hat_helmet_norman,layer_1,135,hat/helmet/norman/adult/ hat/helmet/norman/adult/ hat/helmet/norman/adult/ hat/helmet/norman/adult/
hat_helmet_pointed,layer_1,135,hat/helmet/pointed/adult/ hat/helmet/pointed/adult/ hat/helmet/pointed/adult/ hat/helmet/pointed/adult/
hat_helmet_spangenhelm,layer_1,130,hat/helmet/spangenhelm/adult/ hat/helmet/spangenhelm/adult/ hat/helmet/spangenhelm/adult/ hat/helmet/spangenhelm/adult/
hat_helmet_spangenhelm_viking,layer_1,130,hat/helmet/spangenhelm_viking/adult/ hat/helmet/spangenhelm_viking/adult/ hat/helmet/spangenhelm_viking/adult/ hat/helmet/spangenhelm_viking/adult/
hat_helmet_sugarloaf,layer_1,130,hat/helmet/sugarloaf/male/ hat/helmet/sugarloaf/female/ hat/helmet/sugarloaf/male/ hat/helmet/sugarloaf/female/
hat_helmet_sugarloaf_simple,layer_1,130,hat/helmet/sugarloaf_simple/male/ hat/helmet/sugarloaf_simple/female/ hat/helmet/sugarloaf_simple/male/ hat/helmet/sugarloaf_simple/female/
hat_helmet_xeon,layer_1,130,hat/helmet/xeon/adult/ hat/helmet/xeon/adult/ hat/helmet/xeon/adult/ hat/helmet/xeon/adult/
hat_holiday_christmas,layer_1,130,hat/holiday/christmas/adult/ hat/holiday/christmas/adult/ hat/holiday/christmas/adult/ hat/holiday/christmas/adult/
hat_holiday_elf,layer_1,130,hat/holiday/elf/adult/ hat/holiday/elf/adult/ hat/holiday/elf/adult/ hat/holiday/elf/adult/
